package	version	architecture	installed_size_kib	file_size_bytes	sha256	filename
libgdbm6t64	1.24-2	amd64	138	75176	e7b42c68c391e278733adb3c1efdacd24d660862bd7bac0efbc10a91e5696dfc	libgdbm6t64_1.24-2_amd64.deb
libldap2	2.6.10+dfsg-1	amd64	576	193576	60069e4a550ca890113fa89d3001417781b18e146ec5d637d31e368dec9909bd	libldap2_2.6.10+dfsg-1_amd64.deb
libnghttp2-14	1.64.0-1.1+deb13u1	amd64	229	76188	896cb217537c09251fb909b8541349010ac279d802d871e98c06a62a2c67ce2c	libnghttp2-14_1.64.0-1.1+deb13u1_amd64.deb
libnghttp3-9	1.8.0-1	amd64	201	67656	388e4c33b72829cbf0d098afdc8539fa5ba7458eddb077f5538fdb4d5538716b	libnghttp3-9_1.8.0-1_amd64.deb
libngtcp2-16	1.11.0-1+deb13u1	amd64	335	131904	627eec81ebbd48c4e6091f5cd9dc5070b792b7075000eed60ab08c7daa961caf	libngtcp2-16_1.11.0-1+deb13u1_amd64.deb
libngtcp2-crypto-gnutls8	1.11.0-1+deb13u1	amd64	80	29524	2a7f109c0c4db6a800e4661c5e5e34e1f1f83c8162482276183d1ada9da7c96c	libngtcp2-crypto-gnutls8_1.11.0-1+deb13u1_amd64.deb
libperl5.40	5.40.1-6	amd64	29315	4341332	f20aa427c3f56f430b7b58b73222edcb8cda40fa9c3b25365b20cd53eddd51a9	libperl5.40_5.40.1-6_amd64.deb
libpsl5t64	0.21.2-1.1+b1	amd64	100	57188	59d42bb1f9ebc0d1776fe616efb08a7a8568b05982e00f70b03c63863db768ab	libpsl5t64_0.21.2-1.1+b1_amd64.deb
librtmp1	2.4+20151223.gitfa8646d.1-2+b5	amd64	144	58840	93baa2004cbe6c8721b9e81beed078612540aef120970b4751305c51c6697368	librtmp1_2.4+20151223.gitfa8646d.1-2+b5_amd64.deb
libsasl2-2	2.1.28+dfsg1-9	amd64	156	57512	66e49d7ae026811b49a0050f18b0325960a2625ffd1ff60d91b7844a815fa9d2	libsasl2-2_2.1.28+dfsg1-9_amd64.deb
libsasl2-modules-db	2.1.28+dfsg1-9	amd64	70	19768	a5c38659fbd62c33c6d9bfa2be43e75a572d1818531aad32dd74d0a58cc4bd19	libsasl2-modules-db_2.1.28+dfsg1-9_amd64.deb
libssh2-1t64	1.11.1-1+deb13u1	amd64	441	245088	915c4ec450a369d430e0151f9e10e25044ea2f0d6e41901e00a9317e232e5683	libssh2-1t64_1.11.1-1+deb13u1_amd64.deb
perl	5.40.1-6	amd64	841	267336	11ec93d44649e9b37e3bddcf32a5f01d6e9dd3d0d79aac621b49473539c8f5b8	perl_5.40.1-6_amd64.deb
perl-modules-5.40	5.40.1-6	all	19988	3019100	dfd42c1bf0c45858488ad666b90de17f81b55e6f9c0d8ca530c27b4a66c08b0b	perl-modules-5.40_5.40.1-6_all.deb
libncursesw6	6.5+20250216-2	amd64	419	135484	47baa2e11579583654583a066b69bd5a5d2f22423081f707ed6c0c3ba6d538b7	libncursesw6_6.5+20250216-2_amd64.deb
libpython3-stdlib	3.13.5-1	amd64	28	10180	7e142ed64a81ccdd39714f213467bd365736ef341adb2be11be981f638b9175f	libpython3-stdlib_3.13.5-1_amd64.deb
libpython3.13-minimal	3.13.5-2+deb13u3	amd64	5452	863024	9be9a4e59d43ad6e237349befbd0d131e0cf79812323b5ac6427051cee7e7ca9	libpython3.13-minimal_3.13.5-2+deb13u3_amd64.deb
libpython3.13-stdlib	3.13.5-2+deb13u3	amd64	8901	1958876	f4e759dbac49db16c4f1c3601684a9211a2af3211a3f7bdc04fff263af08a5eb	libpython3.13-stdlib_3.13.5-2+deb13u3_amd64.deb
libreadline8t64	8.2-6	amd64	485	168832	eeadf2b5e755c9f183883feea2d9b5b28560284275d5f54d3e55d0923b1d0967	libreadline8t64_8.2-6_amd64.deb
media-types	13.0.0	all	98	29336	0788e4b0b72db1bcf74a19cb24c3511e7770ad0b341f0f30e361701c3072f53e	media-types_13.0.0_all.deb
netbase	6.5	all	35	12436	76bafa92947ebd37b0a6f9ec6570412041f56edebc1c66d323731216d318471e	netbase_6.5_all.deb
python3	3.13.5-1	amd64	83	28244	c1388174dc7140e6c19a6dd39f8a0dcb38a835cd66c65644e0dded43d5223cb0	python3_3.13.5-1_amd64.deb
python3-minimal	3.13.5-1	amd64	112	27248	a5d2371bebf3689f676e3f3bae800371bcc4392a8a51269e23d528249b399615	python3-minimal_3.13.5-1_amd64.deb
python3.13	3.13.5-2+deb13u3	amd64	830	757384	669335986fd641d6f6c538f558fc752a20c1d8168856f90b7e34a7615484dcd2	python3.13_3.13.5-2+deb13u3_amd64.deb
python3.13-minimal	3.13.5-2+deb13u3	amd64	6764	2224492	3bafb1bf1674a6c8fc52296e1b17b54b666400fc46f6b1d0ef4c24baebc883bb	python3.13-minimal_3.13.5-2+deb13u3_amd64.deb
readline-common	8.2-6	all	89	69360	f77e8aa0bf0de618f11cb0b21658a4ed60f177d63b3cf26d7fc3706b6d0eaaa9	readline-common_8.2-6_all.deb
